Time,BP Count,Batteries Taken,Customers Served (1 BP)
7:00:00,44,-,0
7:01:45,43,1,1
7:03:30,42,1,2
7:05:15,41,1,3
7:07:00,40,1,4
7:08:45,39,1,5
7:10:30,38,1,6
7:12:15,37,1,7
7:14:00,36,1,8
7:15:45,35,1,9
7:17:30,34,1,10
7:19:15,33,1,11
7:21:00,32,1,12
7:22:45,31,1,13
7:24:30,30,1,14
7:26:15,29,1,15
7:28:00,28,1,16
7:29:45,27,1,17
7:31:30,26,1,18
7:33:15,25,1,19
7:35:00,24,1,20
7:36:45,23,1,21
7:38:30,22,1,22
7:40:15,21,1,23
7:42:00,20,1,24
7:43:45,19,1,25
7:45:30,18,1,26
7:47:15,17,1,27
7:49:00,16,1,28
7:50:45,15,1,29
7:52:30,14,1,30
7:54:15,13,1,31
7:56:00,12,1,32
7:57:45,11,1,33
7:59:30,10,1,34
8:01:15,9,1,35
8:03:00,8,1,36
8:04:45,7,1,37
8:06:30,6,1,38
8:08:15,5,1,39
8:10:00,4,1,40
8:11:45,3,1,41
8:13:30,2,1,42
8:15:15,1,1,43
8:17:00,0,1,44
8:34:45,1,1,45
8:36:30,1,1,46
8:38:15,1,1,47
8:40:00,1,1,48
8:41:45,1,1,49
8:43:30,1,1,50
8:45:15,1,1,51
8:47:00,1,1,52
8:48:45,1,1,53
8:50:30,1,1,54
8:52:15,1,1,55
8:54:00,1,1,56
8:55:45,1,1,57
8:57:30,1,1,58
8:59:15,1,1,59
9:01:00,1,1,60
9:02:45,1,1,61
9:04:30,1,1,62
9:06:15,1,1,63
9:08:00,1,1,64
9:09:45,1,1,65
9:11:30,1,1,66
9:13:15,1,1,67
9:15:00,1,1,68
9:16:45,1,1,69
9:18:30,1,1,70
9:20:15,1,1,71
9:22:00,1,1,72
9:23:45,1,1,73
9:25:30,1,1,74
9:27:15,1,1,75
9:29:00,1,1,76
9:30:45,1,1,77
9:32:30,1,1,78
9:34:15,1,1,79
9:36:00,1,1,80
9:37:45,1,1,81
9:39:30,1,1,82
9:41:15,1,1,83
9:43:00,1,1,84
9:44:45,1,1,85
9:46:30,1,1,86
9:48:15,1,1,87
9:50:00,1,1,88
10:07:45,1,1,89
10:09:30,1,1,90
10:11:15,1,1,91
10:13:00,1,1,92
10:14:45,1,1,93
10:16:30,1,1,94
10:18:15,1,1,95
10:20:00,1,1,96
10:21:45,1,1,97
10:23:30,1,1,98
10:25:15,1,1,99
10:27:00,1,1,100
10:28:45,1,1,101
10:30:30,1,1,102
10:32:15,1,1,103
10:34:00,1,1,104
10:35:45,1,1,105
10:37:30,1,1,106
10:39:15,1,1,107
10:41:00,1,1,108
10:42:45,1,1,109
10:44:30,1,1,110
10:46:15,1,1,111
10:48:00,1,1,112
10:49:45,1,1,113
10:51:30,1,1,114
10:53:15,1,1,115
10:55:00,1,1,116
10:56:45,1,1,117
10:58:30,1,1,118
11:00:15,1,1,119
11:02:00,1,1,120
11:03:45,1,1,121
11:05:30,1,1,122
11:07:15,1,1,123
11:09:00,1,1,124
11:10:45,1,1,125
11:12:30,1,1,126
11:14:15,1,1,127
11:16:00,1,1,128
11:17:45,1,1,129
11:19:30,1,1,130
11:21:15,1,1,131
11:23:00,1,1,132
11:40:45,1,1,133
11:42:30,1,1,134
11:44:15,1,1,135
11:46:00,1,1,136
11:47:45,1,1,137
11:49:30,1,1,138
11:51:15,1,1,139
11:53:00,1,1,140
11:54:45,1,1,141
11:56:30,1,1,142
11:58:15,1,1,143
12:00:00,1,1,144
12:01:45,1,1,145
12:03:30,1,1,146
12:05:15,1,1,147
12:07:00,1,1,148
12:08:45,1,1,149
12:10:30,1,1,150
12:12:15,1,1,151
12:14:00,1,1,152
12:15:45,1,1,153
12:17:30,1,1,154
12:19:15,1,1,155
12:21:00,1,1,156
12:22:45,1,1,157
12:24:30,1,1,158
12:26:15,1,1,159
12:28:00,1,1,160
12:29:45,1,1,161
12:31:30,1,1,162
12:33:15,1,1,163
12:35:00,1,1,164
12:36:45,1,1,165
12:38:30,1,1,166
12:40:15,1,1,167
12:42:00,1,1,168
12:43:45,1,1,169
12:45:30,1,1,170
12:47:15,1,1,171
12:49:00,1,1,172
12:50:45,1,1,173
12:52:30,1,1,174
12:54:15,1,1,175
12:56:00,1,1,176
13:13:45,1,1,177
13:15:30,1,1,178
13:17:15,1,1,179
13:19:00,1,1,180
13:20:45,1,1,181
13:22:30,1,1,182
13:24:15,1,1,183
13:26:00,1,1,184
13:27:45,1,1,185
13:29:30,1,1,186
13:31:15,1,1,187
13:33:00,1,1,188
13:34:45,1,1,189
13:36:30,1,1,190
