Time,BP Count,Batteries Taken,Customers Served (3 BP)
7:00:00,44,-,
7:01:06,43,1,1
7:02:12,42,1,1
7:03:18,41,1,1
7:04:24,40,1,2
7:05:30,39,1,2
7:06:36,38,1,2
7:07:42,37,1,3
7:08:48,36,1,3
7:09:54,35,1,3
7:11:00,34,1,4
7:12:06,33,1,4
7:13:12,32,1,4
7:14:18,31,1,5
7:15:24,30,1,5
7:16:30,29,1,5
7:17:36,28,1,6
7:18:42,27,1,6
7:19:48,26,1,6
7:20:54,25,1,7
7:22:00,24,1,7
7:23:06,23,1,7
7:24:12,22,1,8
7:25:18,21,1,8
7:26:24,20,1,8
7:27:30,19,1,9
7:28:36,18,1,9
7:29:42,17,1,9
7:30:48,16,1,10
7:31:54,15,1,10
7:33:00,14,1,10
7:34:06,13,1,11
7:35:12,12,1,11
7:36:18,11,1,11
7:37:24,10,1,12
7:38:30,9,1,12
7:39:36,8,1,12
7:40:42,7,1,13
7:41:48,6,1,13
7:42:54,5,1,13
7:44:00,4,1,14
7:45:06,3,1,14
7:46:12,2,1,14
7:47:18,1,1,15
7:48:24,0,1,15
8:34:06,1,1,15
8:35:12,1,1,16
8:36:18,1,1,16
8:37:24,1,1,16
8:38:30,1,1,17
8:39:36,1,1,17
8:40:42,1,1,17
8:41:48,1,1,18
8:42:54,1,1,18
8:44:00,1,1,18
8:45:06,1,1,19
8:46:12,1,1,19
8:47:18,1,1,19
8:48:24,1,1,20
8:49:30,1,1,20
8:50:36,1,1,20
8:51:42,1,1,21
8:52:48,1,1,21
8:53:54,1,1,21
8:55:00,1,1,22
8:56:06,1,1,22
8:57:12,1,1,22
8:58:18,1,1,23
8:59:24,1,1,23
9:00:30,1,1,23
9:01:36,1,1,24
9:02:42,1,1,24
9:03:48,1,1,24
9:04:54,1,1,25
9:06:00,1,1,25
9:07:06,1,1,25
9:08:12,1,1,26
9:09:18,1,1,26
9:10:24,1,1,26
9:11:30,1,1,27
9:12:36,1,1,27
9:13:42,1,1,27
9:14:48,1,1,28
9:15:54,1,1,28
9:17:00,1,1,28
9:18:06,1,1,29
9:19:12,1,1,29
9:20:18,1,1,29
9:21:24,1,1,30
10:07:06,1,1,30
10:08:12,1,1,30
10:09:18,1,1,31
10:10:24,1,1,31
10:11:30,1,1,31
10:12:36,1,1,32
10:13:42,1,1,32
10:14:48,1,1,32
10:15:54,1,1,33
10:17:00,1,1,33
10:18:06,1,1,33
10:19:12,1,1,34
10:20:18,1,1,34
10:21:24,1,1,34
10:22:30,1,1,35
10:23:36,1,1,35
10:24:42,1,1,35
10:25:48,1,1,36
10:26:54,1,1,36
10:28:00,1,1,36
10:29:06,1,1,37
10:30:12,1,1,37
10:31:18,1,1,37
10:32:24,1,1,38
10:33:30,1,1,38
10:34:36,1,1,38
10:35:42,1,1,39
10:36:48,1,1,39
10:37:54,1,1,39
10:39:00,1,1,40
10:40:06,1,1,40
10:41:12,1,1,40
10:42:18,1,1,41
10:43:24,1,1,41
10:44:30,1,1,41
10:45:36,1,1,42
10:46:42,1,1,42
10:47:48,1,1,42
10:48:54,1,1,43
10:50:00,1,1,43
10:51:06,1,1,43
10:52:12,1,1,44
10:53:18,1,1,44
10:54:24,1,1,44
11:40:06,1,1,45
11:41:12,1,1,45
11:42:18,1,1,45
11:43:24,1,1,46
11:44:30,1,1,46
11:45:36,1,1,46
11:46:42,1,1,47
11:47:48,1,1,47
11:48:54,1,1,47
11:50:00,1,1,48
11:51:06,1,1,48
11:52:12,1,1,48
11:53:18,1,1,49
11:54:24,1,1,49
11:55:30,1,1,49
11:56:36,1,1,50
11:57:42,1,1,50
11:58:48,1,1,50
11:59:54,1,1,51
12:01:00,1,1,51
12:02:06,1,1,51
12:03:12,1,1,52
12:04:18,1,1,52
12:05:24,1,1,52
12:06:30,1,1,53
12:07:36,1,1,53
12:08:42,1,1,53
12:09:48,1,1,54
12:10:54,1,1,54
12:12:00,1,1,54
12:13:06,1,1,55
12:14:12,1,1,55
12:15:18,1,1,55
12:16:24,1,1,56
12:17:30,1,1,56
12:18:36,1,1,56
12:19:42,1,1,57
12:20:48,1,1,57
12:21:54,1,1,57
12:23:00,1,1,58
12:24:06,1,1,58
12:25:12,1,1,58
12:26:18,1,1,59
12:27:24,1,1,59
13:13:06,1,1,59
13:14:12,1,1,60
13:15:18,1,1,60
13:16:24,1,1,60
13:17:30,1,1,61
13:18:36,1,1,61
13:19:42,1,1,61
13:20:48,1,1,62
13:21:54,1,1,62
13:23:00,1,1,62
13:24:06,1,1,63
13:25:12,1,1,63
13:26:18,1,1,63
13:27:24,1,1,64
13:28:30,1,1,64
13:29:36,1,1,64
13:30:42,1,1,65
13:31:48,1,1,65
13:32:54,1,1,65
13:34:00,1,1,66
13:35:06,1,1,66
13:36:12,1,1,66
13:37:18,1,1,67
13:38:24,1,1,67
13:39:30,1,1,67
13:40:36,1,1,68
13:41:42,1,1,68
13:42:48,1,1,68
13:43:54,1,1,69
13:45:00,1,1,69
13:46:06,1,1,69
13:47:12,1,1,70
13:48:18,1,1,70
13:49:24,1,1,70
13:50:30,1,1,71
13:51:36,1,1,71
13:52:42,1,1,71
13:53:48,1,1,72
13:54:54,1,1,72
13:56:00,1,1,72
13:57:06,1,1,73
13:58:12,1,1,73
13:59:18,1,1,73
14:00:24,1,1,74
14:46:06,1,1,74
14:47:12,1,1,74
14:48:18,1,1,75
14:49:24,1,1,75
14:50:30,1,1,75
14:51:36,1,1,76
14:52:42,1,1,76
14:53:48,1,1,76
14:54:54,1,1,77
14:56:00,1,1,77
14:57:06,1,1,77
14:58:12,1,1,78
14:59:18,1,1,78
15:00:24,1,1,78
15:01:30,1,1,79
15:02:36,1,1,79
15:03:42,1,1,79
15:04:48,1,1,80
15:05:54,1,1,80
15:07:00,1,1,80
15:08:06,1,1,81
15:09:12,1,1,81
15:10:18,1,1,81
15:11:24,1,1,82
15:12:30,1,1,82
15:13:36,1,1,82
15:14:42,1,1,83
15:15:48,1,1,83
15:16:54,1,1,83
15:18:00,1,1,84
15:19:06,1,1,84
15:20:12,1,1,84
15:21:18,1,1,85
15:22:24,1,1,85
15:23:30,1,1,85
15:24:36,1,1,86
15:25:42,1,1,86
15:26:48,1,1,86
15:27:54,1,1,87
15:29:00,1,1,87
15:30:06,1,1,87
15:31:12,1,1,88
15:32:18,1,1,88
15:33:24,1,1,88
16:19:06,1,1,89
16:20:12,1,1,89
16:21:18,1,1,89
16:22:24,1,1,90
16:23:30,1,1,90
16:24:36,1,1,90
16:25:42,1,1,91
16:26:48,1,1,91
16:27:54,1,1,91
16:29:00,1,1,92
16:30:06,1,1,92
16:31:12,1,1,92
16:32:18,1,1,93
16:33:24,1,1,93
16:34:30,1,1,93
16:35:36,1,1,94
16:36:42,1,1,94
16:37:48,1,1,94
16:38:54,1,1,95
16:40:00,1,1,95
16:41:06,1,1,95
16:42:12,1,1,96
16:43:18,1,1,96
16:44:24,1,1,96
16:45:30,1,1,97
16:46:36,1,1,97
16:47:42,1,1,97
16:48:48,1,1,98
16:49:54,1,1,98
16:51:00,1,1,98
16:52:06,1,1,99
16:53:12,1,1,99
16:54:18,1,1,99
16:55:24,1,1,100
16:56:30,1,1,100
16:57:36,1,1,100
16:58:42,1,1,101
16:59:48,1,1,101
17:00:54,1,1,101
17:02:00,1,1,102
17:03:06,1,1,102
17:04:12,1,1,102
17:05:18,1,1,103
17:06:24,1,1,103
17:52:06,1,1,103
17:53:12,1,1,104
17:54:18,1,1,104
17:55:24,1,1,104
17:56:30,1,1,105
17:57:36,1,1,105
17:58:42,1,1,105
17:59:48,1,1,106
18:00:54,1,1,106
18:02:00,1,1,106
18:03:06,1,1,107
18:04:12,1,1,107
18:05:18,1,1,107
18:06:24,1,1,108
18:07:30,1,1,108
18:08:36,1,1,108
18:09:42,1,1,109
18:10:48,1,1,109
18:11:54,1,1,109
18:13:00,1,1,110
18:14:06,1,1,110
18:15:12,1,1,110
18:16:18,1,1,111
18:17:24,1,1,111
18:18:30,1,1,111
18:19:36,1,1,112
18:20:42,1,1,112
18:21:48,1,1,112
18:22:54,1,1,113
18:24:00,1,1,113
18:25:06,1,1,113
18:26:12,1,1,114
18:27:18,1,1,114
18:28:24,1,1,114
18:29:30,1,1,115
18:30:36,1,1,115
18:31:42,1,1,115
18:32:48,1,1,116
18:33:54,1,1,116
18:35:00,1,1,116
18:36:06,1,1,117
18:37:12,1,1,117
18:38:18,1,1,117
18:39:24,1,1,118
19:25:06,1,1,118
19:26:12,1,1,118
19:27:18,1,1,119
19:28:24,1,1,119
19:29:30,1,1,119
19:30:36,1,1,120
19:31:42,1,1,120
19:32:48,1,1,120
19:33:54,1,1,121
19:35:00,1,1,121
19:36:06,1,1,121
19:37:12,1,1,122
19:38:18,1,1,122
19:39:24,1,1,122
19:40:30,1,1,123
19:41:36,1,1,123
19:42:42,1,1,123
19:43:48,1,1,124
19:44:54,1,1,124
19:46:00,1,1,124
19:47:06,1,1,125
19:48:12,1,1,125
19:49:18,1,1,125
19:50:24,1,1,126
19:51:30,1,1,126
19:52:36,1,1,126
19:53:42,1,1,127
19:54:48,1,1,127
19:55:54,1,1,127
19:57:00,1,1,128
19:58:06,1,1,128
19:59:12,1,1,128
20:00:18,1,1,129
20:01:24,1,1,129
20:02:30,1,1,129
20:03:36,1,1,130
20:04:42,1,1,130
20:05:48,1,1,130
20:06:54,1,1,131
20:08:00,1,1,131
20:09:06,1,1,131
20:10:12,1,1,132
20:11:18,1,1,132
