Time,BP Count,Batteries Taken,Customers Served (3 BP)
7:00:00,28,-,-
7:01:06,26,2,2
7:02:12,24,2,2
7:03:18,22,2,2
7:04:24,20,2,4
7:05:30,18,2,4
7:06:36,16,2,4
7:07:42,14,2,6
7:08:48,12,2,6
7:09:54,10,2,6
7:11:00,8,2,8
7:12:06,6,2,8
7:13:12,4,2,8
7:14:18,2,2,10
7:15:24,0,2,10
8:34:06,2,2,10
8:35:12,2,2,12
8:36:18,2,2,12
8:37:24,2,2,12
8:38:30,2,2,14
8:39:36,2,2,14
8:40:42,2,2,14
8:41:48,2,2,16
8:42:54,2,2,16
8:44:00,2,2,16
8:45:06,2,2,18
8:46:12,2,2,18
8:47:18,2,2,18
8:48:24,2,2,20
10:07:06,2,2,20
10:08:12,2,2,20
10:09:18,2,2,22
10:10:24,2,2,22
10:11:30,2,2,22
10:12:36,2,2,24
10:13:42,2,2,24
10:14:48,2,2,24
10:15:54,2,2,26
10:17:00,2,2,26
10:18:06,2,2,26
10:19:12,2,2,28
10:20:18,2,2,28
10:21:24,2,2,28
11:40:06,2,2,30
11:41:12,2,2,30
11:42:18,2,2,30
11:43:24,2,2,32
11:44:30,2,2,32
11:45:36,2,2,32
11:46:42,2,2,34
11:47:48,2,2,34
11:48:54,2,2,34
11:50:00,2,2,36
11:51:06,2,2,36
11:52:12,2,2,36
11:53:18,2,2,38
11:54:24,2,2,38
13:13:00,2,2,38
13:14:12,2,2,40
13:15:24,2,2,40
13:16:36,2,2,40
13:17:48,2,2,42
13:19:00,2,2,42
13:20:12,2,2,42
13:21:24,2,2,44
13:22:36,2,2,44
13:23:48,2,2,44
13:25:00,2,2,46
13:26:12,2,2,46
13:27:24,2,2,46
13:28:36,2,2,48
14:46:00,2,2,48
14:47:12,2,2,48
14:48:24,2,2,50
14:49:36,2,2,50
14:50:48,2,2,50
14:52:00,2,2,52
14:53:12,2,2,52
14:54:24,2,2,52
14:55:36,2,2,54
14:56:48,2,2,54
14:58:00,2,2,54
14:59:12,2,2,56
15:00:24,2,2,56
15:01:36,2,2,56
16:19:00,2,2,58
16:20:12,2,2,58
16:21:24,2,2,58
16:22:36,2,2,60
16:23:48,2,2,60
16:25:00,2,2,60
16:26:12,2,2,62
16:27:24,2,2,62
16:28:36,2,2,62
16:29:48,2,2,64
16:31:00,2,2,64
16:32:12,2,2,64
16:33:24,2,2,66
16:34:36,2,2,66
17:52:00,2,2,66
17:53:12,2,2,68
17:54:24,2,2,68
17:55:36,2,2,68
17:56:48,2,2,70
17:58:00,2,2,70
17:59:12,2,2,70
18:00:24,2,2,72
18:01:36,2,2,72
18:02:48,2,2,72
18:04:00,2,2,74
18:05:12,2,2,74
18:06:24,2,2,74
18:07:36,2,2,76
19:25:00,2,2,76
19:26:12,2,2,76
19:27:24,2,2,78
19:28:36,2,2,78
19:29:48,2,2,78
19:31:00,2,2,80
19:32:12,2,2,80
19:33:24,2,2,80
19:34:36,2,2,82
19:35:48,2,2,82
19:37:00,2,2,82
19:38:12,2,2,84
19:39:24,2,2,84
19:40:36,2,2,84
20:58:00,2,2,86
20:59:12,2,2,86
21:00:24,2,2,86
21:01:36,2,2,88
21:02:48,2,2,88
21:04:00,2,2,88
21:05:12,2,2,90
21:06:24,2,2,90
21:07:36,2,2,90
21:08:48,2,2,92
21:10:00,2,2,92
21:11:12,2,2,92
21:12:24,2,2,94
21:13:36,2,2,94
22:31:00,2,2,94
22:32:12,2,2,96
22:33:24,2,2,96
22:34:36,2,2,96
22:35:48,2,2,98
22:37:00,2,2,98
22:38:12,2,2,98
22:39:24,2,2,100
22:40:36,2,2,100
22:41:48,2,2,100
22:43:00,2,2,102
22:44:12,2,2,102
22:45:24,2,2,102
