Time,BP Count,Batteries Taken,Customers Served (3 BP)
7:00:00,14,-,-
7:01:06,13,1,1
7:02:12,12,2,1
7:03:18,11,3,1
7:04:24,10,4,2
7:05:30,9,5,2
7:06:36,8,6,2
7:07:42,7,7,3
7:08:48,6,8,3
7:09:54,5,9,3
7:11:00,4,10,4
7:12:06,3,11,4
7:13:12,2,12,4
7:14:18,1,13,5
7:15:24,0,14,5
8:34:06,1,1,5
8:35:12,1,1,6
8:36:18,1,1,6
8:37:24,1,1,6
8:38:30,1,1,7
8:39:36,1,1,7
8:40:42,1,1,7
8:41:48,1,1,8
8:42:54,1,1,8
8:44:00,1,1,8
8:45:06,1,1,9
8:46:12,1,1,9
8:47:18,1,1,9
8:48:24,1,1,10
10:07:06,1,1,10
10:08:12,1,1,10
10:09:18,1,1,11
10:10:24,1,1,11
10:11:30,1,1,11
10:12:36,1,1,12
10:13:42,1,1,12
10:14:48,1,1,12
10:15:54,1,1,13
10:17:00,1,1,13
10:18:06,1,1,13
10:19:12,1,1,14
10:20:18,1,1,14
10:21:24,1,1,14
11:40:06,1,1,15
11:41:12,1,1,15
11:42:18,1,1,15
11:43:24,1,1,16
11:44:30,1,1,16
11:45:36,1,1,16
11:46:42,1,1,17
11:47:48,1,1,17
11:48:54,1,1,17
11:50:00,1,1,18
11:51:06,1,1,18
11:52:12,1,1,18
11:53:18,1,1,19
11:54:24,1,1,19
13:13:00,1,1,19
13:14:12,1,1,20
13:15:24,1,1,20
13:16:36,1,1,20
13:17:48,1,1,21
13:19:00,1,1,21
13:20:12,1,1,21
13:21:24,1,1,22
13:22:36,1,1,22
13:23:48,1,1,22
13:25:00,1,1,23
13:26:12,1,1,23
13:27:24,1,1,23
13:28:36,1,1,24
14:46:00,1,1,24
14:47:12,1,1,24
14:48:24,1,1,25
14:49:36,1,1,25
14:50:48,1,1,25
14:52:00,1,1,26
14:53:12,1,1,26
14:54:24,1,1,26
14:55:36,1,1,27
14:56:48,1,1,27
14:58:00,1,1,27
14:59:12,1,1,28
15:00:24,1,1,28
15:01:36,1,1,28
16:19:00,1,1,29
16:20:12,1,1,29
16:21:24,1,1,29
16:22:36,1,1,30
16:23:48,1,1,30
16:25:00,1,1,30
16:26:12,1,1,31
16:27:24,1,1,31
16:28:36,1,1,31
16:29:48,1,1,32
16:31:00,1,1,32
16:32:12,1,1,32
16:33:24,1,1,33
16:34:36,1,1,33
17:52:00,1,1,33
17:53:12,1,1,34
17:54:24,1,1,34
17:55:36,1,1,34
17:56:48,1,1,35
17:58:00,1,1,35
17:59:12,1,1,35
18:00:24,1,1,36
18:01:36,1,1,36
18:02:48,1,1,36
18:04:00,1,1,37
18:05:12,1,1,37
18:06:24,1,1,37
18:07:36,1,1,38
19:25:00,1,1,38
19:26:12,1,1,38
19:27:24,1,1,39
19:28:36,1,1,39
19:29:48,1,1,39
19:31:00,1,1,40
19:32:12,1,1,40
19:33:24,1,1,40
19:34:36,1,1,41
19:35:48,1,1,41
19:37:00,1,1,41
19:38:12,1,1,42
19:39:24,1,1,42
19:40:36,1,1,42
20:58:00,1,1,43
20:59:12,1,1,43
21:00:24,1,1,43
21:01:36,1,1,44
21:02:48,1,1,44
21:04:00,1,1,44
21:05:12,1,1,45
21:06:24,1,1,45
21:07:36,1,1,45
21:08:48,1,1,46
21:10:00,1,1,46
21:11:12,1,1,46
21:12:24,1,1,47
21:13:36,1,1,47
22:31:00,1,1,47
22:32:12,1,1,48
22:33:24,1,1,48
22:34:36,1,1,48
22:35:48,1,1,49
22:37:00,1,1,49
22:38:12,1,1,49
22:39:24,1,1,50
22:40:36,1,1,50
22:41:48,1,1,50
22:43:00,1,1,51
22:44:12,1,1,51
22:45:24,1,1,51
