Time,BP Count ,Customers Served (3 BP),Customers Served (2 BP),Customers Served (1 BP)
7:00:00,44,,,
7:01:40,43,1,0,0
7:03:20,42,1,0,0
7:05:00,41,1,0,0
7:06:40,40,1,1,0
7:08:20,39,1,1,0
7:10:00,38,2,1,0
7:11:40,37,2,1,0
7:13:20,36,2,1,0
7:15:00,35,2,2,0
7:16:40,34,2,2,0
7:18:20,33,3,2,0
7:20:00,32,3,2,0
7:21:40,31,3,2,0
7:23:20,30,3,3,0
7:25:00,29,3,3,0
7:26:40,28,3,3,1
7:28:20,27,3,3,2
7:30:00,26,3,3,3
7:31:40,25,3,3,4
7:33:20,24,3,3,5
7:35:00,23,3,3,6
7:36:40,22,3,3,7
7:38:20,21,3,3,8
7:40:00,20,3,3,9
7:41:40,19,3,3,10
7:43:20,18,3,3,11
7:45:00,17,3,3,12
7:46:40,16,3,3,13
7:48:20,15,3,3,14
7:50:00,14,3,3,15
7:51:40,13,3,3,16
7:53:20,12,3,3,17
7:55:00,11,3,3,18
7:56:40,10,3,3,19
7:58:20,9,3,3,20
8:00:00,8,3,3,21
8:01:40,7,3,3,22
8:03:20,6,3,3,23
8:05:00,5,3,3,24
8:06:40,4,3,3,25
8:08:20,3,3,3,26
8:10:00,2,3,3,27
8:11:40,1,3,3,28
8:13:20,0,3,3,29
8:34:40,1,4,3,29
8:36:20,1,4,3,29
8:38:00,1,4,3,29
8:39:40,1,4,4,29
8:41:20,1,4,4,29
8:43:00,1,5,4,29
8:44:40,1,5,4,29
8:46:20,1,5,4,29
8:48:00,1,5,5,29
8:49:40,1,5,5,29
8:51:20,1,6,5,29
8:53:00,1,6,5,29
8:54:40,1,6,5,29
8:56:20,1,6,6,29
8:58:00,1,6,6,29
8:59:40,1,6,6,30
9:01:20,1,6,6,31
9:03:00,1,6,6,32
9:04:40,1,6,6,33
9:06:20,1,6,6,34
9:08:00,1,6,6,35
9:09:40,1,6,6,36
9:11:20,1,6,6,37
9:13:00,1,6,6,38
9:14:40,1,6,6,39
9:16:20,1,6,6,40
9:18:00,1,6,6,41
9:19:40,1,6,6,42
9:21:20,1,6,6,43
9:23:00,1,6,6,44
9:24:40,1,6,6,45
9:26:20,1,6,6,46
9:28:00,1,6,6,47
9:29:40,1,6,6,48
9:31:20,1,6,6,49
9:33:00,1,6,6,50
9:34:40,1,6,6,51
9:36:20,1,6,6,52
9:38:00,1,6,6,53
9:39:40,1,6,6,54
9:41:20,1,6,6,55
9:43:00,1,6,6,56
9:44:40,1,6,6,57
9:46:20,1,6,6,58
10:07:40,1,7,6,58
10:09:20,1,7,6,58
10:11:00,1,7,6,58
10:12:40,1,7,7,58
10:14:20,1,7,7,58
10:16:00,1,8,7,58
10:17:40,1,8,7,58
10:19:20,1,8,7,58
10:21:00,1,8,8,58
10:22:40,1,8,8,58
10:24:20,1,9,8,58
10:26:00,1,9,8,58
10:27:40,1,9,8,58
10:29:20,1,9,9,58
10:31:00,1,9,9,58
10:32:40,1,9,9,59
10:34:20,1,9,9,60
10:36:00,1,9,9,61
10:37:40,1,9,9,62
10:39:20,1,9,9,63
10:41:00,1,9,9,64
10:42:40,1,9,9,65
10:44:20,1,9,9,66
10:46:00,1,9,9,67
10:47:40,1,9,9,68
10:49:20,1,9,9,69
10:51:00,1,9,9,70
10:52:40,1,9,9,71
10:54:20,1,9,9,72
10:56:00,1,9,9,73
