Time,BP Count,Batteries Taken,Customers Served (2 BP)
7:00:00,14,-,0
7:01:20,13,1,1
7:02:40,12,1,1
7:04:00,11,1,2
7:05:20,10,1,2
7:06:40,9,1,3
7:08:00,8,1,3
7:09:20,7,1,4
7:10:40,6,1,4
7:12:00,5,1,5
7:13:20,4,1,5
7:14:40,3,1,6
7:16:00,2,1,6
7:17:20,1,1,7
7:18:40,0,1,7
8:34:20,1,1,8
8:35:40,1,1,8
8:37:00,1,1,9
8:38:20,1,1,9
8:39:40,1,1,10
8:41:00,1,1,10
8:42:20,1,1,11
8:43:40,1,1,11
8:45:00,1,1,12
8:46:20,1,1,12
8:47:40,1,1,13
8:49:00,1,1,13
8:50:20,1,1,14
8:51:40,1,1,14
10:07:20,1,1,15
10:08:40,1,1,15
10:10:00,1,1,16
10:11:20,1,1,16
10:12:40,1,1,17
10:14:00,1,1,17
10:15:20,1,1,18
10:16:40,1,1,18
10:18:00,1,1,19
10:19:20,1,1,19
10:20:40,1,1,20
10:22:00,1,1,20
10:23:20,1,1,21
10:24:40,1,1,21
11:40:20,1,1,22
11:41:40,1,1,22
11:43:00,1,1,23
11:44:20,1,1,23
11:45:40,1,1,24
11:47:00,1,1,24
11:48:20,1,1,25
11:49:40,1,1,25
11:51:00,1,1,26
11:52:20,1,1,26
11:53:40,1,1,27
11:55:00,1,1,27
11:56:20,1,1,28
11:57:40,1,1,28
13:13:20,1,1,29
13:14:40,1,1,29
13:16:00,1,1,30
13:17:20,1,1,30
13:18:40,1,1,31
13:20:00,1,1,31
13:21:20,1,1,32
13:22:40,1,1,32
13:24:00,1,1,33
13:25:20,1,1,33
13:26:40,1,1,34
13:28:00,1,1,34
13:29:20,1,1,35
13:30:40,1,1,35
14:46:20,1,1,36
14:47:40,1,1,36
14:49:00,1,1,37
14:50:20,1,1,37
14:51:40,1,1,38
14:53:00,1,1,38
14:54:20,1,1,39
14:55:40,1,1,39
14:57:00,1,1,40
14:58:20,1,1,40
14:59:40,1,1,41
15:01:00,1,1,41
15:02:20,1,1,42
15:03:40,1,1,42
16:19:20,1,1,43
16:20:40,1,1,43
16:22:00,1,1,44
16:23:20,1,1,44
16:24:40,1,1,45
16:26:00,1,1,45
16:27:20,1,1,46
16:28:40,1,1,46
16:30:00,1,1,47
16:31:20,1,1,47
16:32:40,1,1,48
16:34:00,1,1,48
16:35:20,1,1,49
16:36:40,1,1,49
17:52:20,1,1,50
17:53:40,1,1,50
17:55:00,1,1,51
17:56:20,1,1,51
17:57:40,1,1,52
17:59:00,1,1,52
18:00:20,1,1,53
18:01:40,1,1,53
18:03:00,1,1,54
18:04:20,1,1,54
18:05:40,1,1,55
18:07:00,1,1,55
18:08:20,1,1,56
18:09:40,1,1,56
19:25:20,1,1,57
19:26:40,1,1,57
19:28:00,1,1,58
19:29:20,1,1,58
19:30:40,1,1,59
19:32:00,1,1,59
19:33:20,1,1,60
19:34:40,1,1,60
19:36:00,1,1,61
19:37:20,1,1,61
19:38:40,1,1,62
19:40:00,1,1,62
19:41:20,1,1,63
19:42:40,1,1,63
20:58:20,1,1,64
20:59:40,1,1,64
21:01:00,1,1,65
21:02:20,1,1,65
21:03:40,1,1,66
21:05:00,1,1,66
21:06:20,1,1,67
21:07:40,1,1,67
21:09:00,1,1,68
21:10:20,1,1,68
21:11:40,1,1,69
21:13:00,1,1,69
21:14:20,1,1,70
21:15:40,1,1,70
22:31:20,1,1,71
22:32:40,1,1,71
22:34:00,1,1,72
22:35:20,1,1,72
22:36:40,1,1,73
22:38:00,1,1,73
22:39:20,1,1,74
22:40:40,1,1,74
22:42:00,1,1,75
22:43:20,1,1,75
22:44:40,1,1,76
22:46:00,1,1,76
22:47:20,1,1,77
22:48:40,1,1,77
