Time,BP Count,Batteries Taken,Customers Served (2 BP)
7:00:00,29,-,0
7:01:20,28,1,1
7:02:40,27,1,1
7:04:00,26,1,2
7:05:20,25,1,2
7:06:40,24,1,3
7:08:00,23,1,3
7:09:20,22,1,4
7:10:40,21,1,4
7:12:00,20,1,5
7:13:20,19,1,5
7:14:40,18,1,6
7:16:00,17,1,6
7:17:20,16,1,7
7:18:40,15,1,7
7:20:00,14,1,8
7:21:20,13,1,8
7:22:40,12,1,9
7:24:00,11,1,9
7:25:20,10,1,10
7:26:40,9,1,10
7:28:00,8,1,11
7:29:20,7,1,11
7:30:40,6,1,12
7:32:00,5,1,12
7:33:20,4,1,13
7:34:40,3,1,13
7:36:00,2,1,14
7:37:20,1,1,14
7:38:40,0,1,15
8:34:20,1,1,15
8:35:40,1,1,16
8:37:00,1,1,16
8:38:20,1,1,17
8:39:40,1,1,17
8:41:00,1,1,18
8:42:20,1,1,18
8:43:40,1,1,19
8:45:00,1,1,19
8:46:20,1,1,20
8:47:40,1,1,20
8:49:00,1,1,21
8:50:20,1,1,21
8:51:40,1,1,22
8:53:00,1,1,22
8:54:20,1,1,23
8:55:40,1,1,23
8:57:00,1,1,24
8:58:20,1,1,24
8:59:40,1,1,25
9:01:00,1,1,25
9:02:20,1,1,26
9:03:40,1,1,26
9:05:00,1,1,27
9:06:20,1,1,27
9:07:40,1,1,28
9:09:00,1,1,28
9:10:20,1,1,29
9:11:40,1,1,29
10:07:20,1,1,30
10:08:40,1,1,30
10:10:00,1,1,31
10:11:20,1,1,31
10:12:40,1,1,32
10:14:00,1,1,32
10:15:20,1,1,33
10:16:40,1,1,33
10:18:00,1,1,34
10:19:20,1,1,34
10:20:40,1,1,35
10:22:00,1,1,35
10:23:20,1,1,36
10:24:40,1,1,36
10:26:00,1,1,37
10:27:20,1,1,37
10:28:40,1,1,38
10:30:00,1,1,38
10:31:20,1,1,39
10:32:40,1,1,39
10:34:00,1,1,40
10:35:20,1,1,40
10:36:40,1,1,41
10:38:00,1,1,41
10:39:20,1,1,42
10:40:40,1,1,42
10:42:00,1,1,42
10:43:20,1,1,43
10:44:40,1,1,43
11:40:20,1,1,44
11:41:40,1,1,44
11:43:00,1,1,45
11:44:20,1,1,45
11:45:40,1,1,46
11:47:00,1,1,46
11:48:20,1,1,47
11:49:40,1,1,47
11:51:00,1,1,48
11:52:20,1,1,48
11:53:40,1,1,49
11:55:00,1,1,49
11:56:20,1,1,50
11:57:40,1,1,50
11:59:00,1,1,51
12:00:20,1,1,51
12:01:40,1,1,52
12:03:00,1,1,52
12:04:20,1,1,53
12:05:40,1,1,53
12:07:00,1,1,54
12:08:20,1,1,54
12:09:40,1,1,55
12:11:00,1,1,55
12:12:20,1,1,56
12:13:40,1,1,56
12:15:00,1,1,56
12:16:20,1,1,57
12:17:40,1,1,57
13:13:20,1,1,58
13:14:40,1,1,58
13:16:00,1,1,59
13:17:20,1,1,59
13:18:40,1,1,60
13:20:00,1,1,60
13:21:20,1,1,61
13:22:40,1,1,61
13:24:00,1,1,62
13:25:20,1,1,62
13:26:40,1,1,63
13:28:00,1,1,63
13:29:20,1,1,64
13:30:40,1,1,64
13:32:00,1,1,65
13:33:20,1,1,65
13:34:40,1,1,66
13:36:00,1,1,66
13:37:20,1,1,67
13:38:40,1,1,67
13:40:00,1,1,68
13:41:20,1,1,68
13:42:40,1,1,69
13:44:00,1,1,69
13:45:20,1,1,70
13:46:40,1,1,70
13:48:00,1,1,70
13:49:20,1,1,71
13:50:40,1,1,71
14:46:20,1,1,72
14:47:40,1,1,72
14:49:00,1,1,73
14:50:20,1,1,73
14:51:40,1,1,74
14:53:00,1,1,74
14:54:20,1,1,75
14:55:40,1,1,75
14:57:00,1,1,76
14:58:20,1,1,76
14:59:40,1,1,77
15:01:00,1,1,77
15:02:20,1,1,78
15:03:40,1,1,78
15:05:00,1,1,79
15:06:20,1,1,79
15:07:40,1,1,80
15:09:00,1,1,80
15:10:20,1,1,81
15:11:40,1,1,81
15:13:00,1,1,82
15:14:20,1,1,82
15:15:40,1,1,83
15:17:00,1,1,83
15:18:20,1,1,84
15:19:40,1,1,84
15:21:00,1,1,84
15:22:20,1,1,85
15:23:40,1,1,85
16:19:20,1,1,86
16:20:40,1,1,86
16:22:00,1,1,87
16:23:20,1,1,87
16:24:40,1,1,88
16:26:00,1,1,88
16:27:20,1,1,89
16:28:40,1,1,89
16:30:00,1,1,90
16:31:20,1,1,90
16:32:40,1,1,91
16:34:00,1,1,91
16:35:20,1,1,92
16:36:40,1,1,92
16:38:00,1,1,93
16:39:20,1,1,93
16:40:40,1,1,94
16:42:00,1,1,94
16:43:20,1,1,95
16:44:40,1,1,95
16:46:00,1,1,96
16:47:20,1,1,96
16:48:40,1,1,97
16:50:00,1,1,97
16:51:20,1,1,98
16:52:40,1,1,98
16:54:00,1,1,98
16:55:20,1,1,99
16:56:40,1,1,99
17:52:20,1,1,100
17:53:40,1,1,100
17:55:00,1,1,101
17:56:20,1,1,101
17:57:40,1,1,102
17:59:00,1,1,102
18:00:20,1,1,103
18:01:40,1,1,103
18:03:00,1,1,104
18:04:20,1,1,104
18:05:40,1,1,105
18:07:00,1,1,105
18:08:20,1,1,106
18:09:40,1,1,106
18:11:00,1,1,107
18:12:20,1,1,107
18:13:40,1,1,108
18:15:00,1,1,108
18:16:20,1,1,109
18:17:40,1,1,109
18:19:00,1,1,110
18:20:20,1,1,110
18:21:40,1,1,111
18:23:00,1,1,111
18:24:20,1,1,112
18:25:40,1,1,112
18:27:00,1,1,112
18:28:20,1,1,113
18:29:40,1,1,113
19:25:20,1,1,114
19:26:40,1,1,114
19:28:00,1,1,115
19:29:20,1,1,115
19:30:40,1,1,116
19:32:00,1,1,116
19:33:20,1,1,117
19:34:40,1,1,117
19:36:00,1,1,118
19:37:20,1,1,118
19:38:40,1,1,119
19:40:00,1,1,119
