Time,BP Count,Batteries Taken,Customers Served (3 BP)
7:00:00,29,-,-
7:01:06,28,1,1
7:02:12,27,1,1
7:03:18,26,1,1
7:04:24,25,1,2
7:05:30,24,1,2
7:06:36,23,1,2
7:07:42,22,1,3
7:08:48,21,1,3
7:09:54,20,1,3
7:11:00,19,1,4
7:12:06,18,1,4
7:13:12,17,1,4
7:14:18,16,1,5
7:15:24,15,1,5
7:16:30,14,1,5
7:17:36,13,1,6
7:18:42,12,1,6
7:19:48,11,1,6
7:20:54,10,1,7
7:22:00,9,1,7
7:23:06,8,1,7
7:24:12,7,1,8
7:25:18,6,1,8
7:26:24,5,1,8
7:27:30,4,1,9
7:28:36,3,1,9
7:29:42,2,1,9
7:30:48,1,1,10
7:31:54,0,1,10
8:34:06,1,1,10
8:35:12,1,1,11
8:36:18,1,1,11
8:37:24,1,1,11
8:38:30,1,1,12
8:39:36,1,1,12
8:40:42,1,1,12
8:41:48,1,1,13
8:42:54,1,1,13
8:44:00,1,1,13
8:45:06,1,1,14
8:46:12,1,1,14
8:47:18,1,1,14
8:48:24,1,1,15
8:49:30,1,1,15
8:50:36,1,1,15
8:51:42,1,1,16
8:52:48,1,1,16
8:53:54,1,1,16
8:55:00,1,1,17
8:56:06,1,1,17
8:57:12,1,1,17
8:58:18,1,1,18
8:59:24,1,1,18
9:00:30,1,1,18
9:01:36,1,1,19
9:02:42,1,1,19
9:03:48,1,1,19
9:04:54,1,1,20
10:07:06,1,1,20
10:08:12,1,1,20
10:09:18,1,1,21
10:10:24,1,1,21
10:11:30,1,1,21
10:12:36,1,1,22
10:13:42,1,1,22
10:14:48,1,1,22
10:15:54,1,1,23
10:17:00,1,1,23
10:18:06,1,1,23
10:19:12,1,1,24
10:20:18,1,1,24
10:21:24,1,1,24
10:22:30,1,1,25
10:23:36,1,1,25
10:24:42,1,1,25
10:25:48,1,1,26
10:26:54,1,1,26
10:28:00,1,1,26
10:29:06,1,1,27
10:30:12,1,1,27
10:31:18,1,1,27
10:32:24,1,1,28
10:33:30,1,1,28
10:34:36,1,1,28
10:35:42,1,1,29
10:36:48,1,1,29
10:37:54,1,1,29
11:40:06,1,1,30
11:41:12,1,1,30
11:42:18,1,1,30
11:43:24,1,1,31
11:44:30,1,1,31
11:45:36,1,1,31
11:46:42,1,1,32
11:47:48,1,1,32
11:48:54,1,1,32
11:50:00,1,1,33
11:51:06,1,1,33
11:52:12,1,1,33
11:53:18,1,1,34
11:54:24,1,1,34
11:55:30,1,1,34
11:56:36,1,1,35
11:57:42,1,1,35
11:58:48,1,1,35
11:59:54,1,1,36
12:01:00,1,1,36
12:02:06,1,1,36
12:03:12,1,1,37
12:04:18,1,1,37
12:05:24,1,1,37
12:06:30,1,1,38
12:07:36,1,1,38
12:08:42,1,1,38
12:09:48,1,1,39
12:10:54,1,1,39
13:13:06,1,1,39
13:14:12,1,1,40
13:15:18,1,1,40
13:16:24,1,1,40
13:17:30,1,1,41
13:18:36,1,1,41
13:19:42,1,1,41
13:20:48,1,1,42
13:21:54,1,1,42
13:23:00,1,1,42
13:24:06,1,1,43
13:25:12,1,1,43
13:26:18,1,1,43
13:27:24,1,1,44
13:28:30,1,1,44
13:29:36,1,1,44
13:30:42,1,1,45
13:31:48,1,1,45
13:32:54,1,1,45
13:34:00,1,1,46
13:35:06,1,1,46
13:36:12,1,1,46
13:37:18,1,1,47
13:38:24,1,1,47
13:39:30,1,1,47
13:40:36,1,1,48
13:41:42,1,1,48
13:42:48,1,1,48
13:43:54,1,1,49
14:46:06,1,1,49
14:47:12,1,1,49
14:48:18,1,1,50
14:49:24,1,1,50
14:50:30,1,1,50
14:51:36,1,1,51
14:52:42,1,1,51
14:53:48,1,1,51
14:54:54,1,1,52
14:56:00,1,1,52
14:57:06,1,1,52
14:58:12,1,1,53
14:59:18,1,1,53
15:00:24,1,1,53
15:01:30,1,1,54
15:02:36,1,1,54
15:03:42,1,1,54
15:04:48,1,1,55
15:05:54,1,1,55
15:07:00,1,1,55
15:08:06,1,1,56
15:09:12,1,1,56
15:10:18,1,1,56
15:11:24,1,1,57
15:12:30,1,1,57
15:13:36,1,1,57
15:14:42,1,1,58
15:15:48,1,1,58
15:16:54,1,1,58
16:19:06,1,1,59
16:20:12,1,1,59
16:21:18,1,1,59
16:22:24,1,1,60
16:23:30,1,1,60
16:24:36,1,1,60
16:25:42,1,1,61
16:26:48,1,1,61
16:27:54,1,1,61
16:29:00,1,1,62
16:30:06,1,1,62
16:31:12,1,1,62
16:32:18,1,1,63
16:33:24,1,1,63
16:34:30,1,1,63
16:35:36,1,1,64
16:36:42,1,1,64
16:37:48,1,1,64
16:38:54,1,1,65
16:40:00,1,1,65
16:41:06,1,1,65
16:42:12,1,1,66
16:43:18,1,1,66
16:44:24,1,1,66
